worker_id,worker_name,attendance_rate,tenure_days,num_sites,total_days_logged,archetype
148,Bina Narain,0.967741935483871,143,4,124,reliable
149,Netra Sur,0.7580645161290323,71,1,62,moderate
150,Rohan Padmanabhan,0.7575757575757576,114,1,99,moderate
151,Zehaan Prakash,0.35714285714285715,15,1,14,unreliable
152,Bina Sha,0.8313253012048193,95,1,83,moderate
153,Saanvi Upadhyay,0.75,83,2,72,moderate
154,Krishna Mohanty,0.8839285714285714,129,3,112,reliable
155,Pushti Vasa,0.65625,36,1,32,unreliable
156,Kalpit Naidu,0.6363636363636364,11,1,11,new
157,Jatin Dada,0.4117647058823529,18,1,17,unreliable
158,Ekiya Samra,1.0,11,1,11,new
159,Ira Minhas,0.8493150684931506,84,2,73,moderate
160,Fiyaz Mutti,0.9586206896551724,168,3,145,reliable
161,Indali Chand,0.9732142857142857,129,4,112,reliable
162,Wazir Murty,1.0,8,1,8,new
163,Chanakya Dube,0.9230769230769231,150,4,130,reliable
164,Mason Kamdar,0.6851851851851852,62,1,54,moderate
165,Yashodhara Parmar,0.38461538461538464,14,1,13,unreliable
166,Baghyawati Chaudry,0.9172932330827067,154,3,133,reliable
167,Dakshesh Aggarwal,0.9781021897810219,158,2,137,reliable
168,Girish Soni,0.5652173913043478,25,1,23,unreliable
169,Bachittar Chahal,0.9272727272727272,63,2,55,moderate
170,Ronith Nadkarni,0.8117647058823529,98,1,85,moderate
171,Akshay Dhingra,0.7972972972972973,85,1,74,moderate
172,Triveni Thaman,0.7169811320754716,60,2,53,moderate
173,Divya Madan,0.9466666666666667,174,3,150,reliable
174,Anirudh Bahri,0.5,8,1,8,new
175,Bakhshi Deep,0.6060606060606061,76,2,66,moderate
176,Laban Bhakta,0.9673202614379085,177,2,153,reliable
177,Anya Narula,0.746031746031746,72,1,63,moderate
178,Aradhana Venkatesh,0.5454545454545454,11,1,11,new
179,Guneet Trivedi,0.917910447761194,155,2,134,reliable
180,Bhavna Iyengar,0.8315789473684211,109,2,95,moderate
181,Henry Oza,0.7956989247311828,107,2,93,moderate
182,Chandresh Rau,0.875,8,1,8,new
183,Lavanya Gala,0.923728813559322,136,3,118,reliable
184,Jai Dora,0.9583333333333334,167,3,144,reliable
185,Vanya Comar,0.7922077922077922,88,2,77,moderate
186,Gautami Pingle,1.0,6,1,6,new
187,Quincy Raj,0.5789473684210527,21,1,19,unreliable
188,Anika Kuruvilla,0.958904109589041,169,2,146,reliable
189,Leela Sankar,0.5142857142857142,39,1,35,unreliable
190,Aarav Gulati,0.6842105263157895,65,1,57,moderate
191,Frado Dash,0.6216216216216216,42,1,37,unreliable
192,Bahadurjit Bahri,0.8873239436619719,164,4,142,reliable
193,Hardik Karnik,0.9326923076923077,120,2,104,reliable
194,Ekavir Bava,0.7727272727272727,24,1,22,unreliable
195,Arjun Dhillon,0.9530201342281879,172,4,149,reliable
196,Dalbir Guha,0.8028169014084507,81,2,71,moderate
197,Osha Bahri,1.0,13,1,12,new
198,Ethan Venkataraman,0.48717948717948717,44,1,39,unreliable
199,Aarnav Goda,0.5,20,1,18,unreliable
200,Fitan Vala,0.9262295081967213,141,2,122,reliable
