worker_id,worker_name,archetype,site,date,status
2,Chakrika Menon,reliable,Site_8,2026-02-06,present
2,Chakrika Menon,reliable,Site_2,2026-02-07,absent
2,Chakrika Menon,reliable,Site_8,2026-02-09,present
2,Chakrika Menon,reliable,Site_2,2026-02-10,absent
2,Chakrika Menon,reliable,Site_8,2026-02-11,present
2,Chakrika Menon,reliable,Site_8,2026-02-12,absent
2,Chakrika Menon,reliable,Site_8,2026-02-13,present
2,Chakrika Menon,reliable,Site_2,2026-02-14,present
2,Chakrika Menon,reliable,Site_2,2026-02-16,present
2,Chakrika Menon,reliable,Site_2,2026-02-17,present
2,Chakrika Menon,reliable,Site_2,2026-02-18,present
2,Chakrika Menon,reliable,Site_2,2026-02-19,present
2,Chakrika Menon,reliable,Site_2,2026-02-20,present
2,Chakrika Menon,reliable,Site_2,2026-02-21,present
2,Chakrika Menon,reliable,Site_8,2026-02-23,present
2,Chakrika Menon,reliable,Site_2,2026-02-24,present
2,Chakrika Menon,reliable,Site_8,2026-02-25,present
2,Chakrika Menon,reliable,Site_8,2026-02-26,present
2,Chakrika Menon,reliable,Site_2,2026-02-27,present
2,Chakrika Menon,reliable,Site_8,2026-02-28,present
2,Chakrika Menon,reliable,Site_8,2026-03-02,present
2,Chakrika Menon,reliable,Site_2,2026-03-03,present
2,Chakrika Menon,reliable,Site_2,2026-03-04,present
2,Chakrika Menon,reliable,Site_8,2026-03-05,present
2,Chakrika Menon,reliable,Site_2,2026-03-06,present
2,Chakrika Menon,reliable,Site_2,2026-03-07,present
2,Chakrika Menon,reliable,Site_2,2026-03-09,present
2,Chakrika Menon,reliable,Site_8,2026-03-10,present
2,Chakrika Menon,reliable,Site_2,2026-03-11,present
2,Chakrika Menon,reliable,Site_2,2026-03-12,present
2,Chakrika Menon,reliable,Site_2,2026-03-13,present
2,Chakrika Menon,reliable,Site_2,2026-03-14,absent
2,Chakrika Menon,reliable,Site_8,2026-03-16,present
2,Chakrika Menon,reliable,Site_8,2026-03-17,present
2,Chakrika Menon,reliable,Site_2,2026-03-18,present
2,Chakrika Menon,reliable,Site_8,2026-03-19,present
2,Chakrika Menon,reliable,Site_8,2026-03-20,present
2,Chakrika Menon,reliable,Site_8,2026-03-21,present
2,Chakrika Menon,reliable,Site_8,2026-03-23,present
2,Chakrika Menon,reliable,Site_2,2026-03-24,present
2,Chakrika Menon,reliable,Site_2,2026-03-25,present
2,Chakrika Menon,reliable,Site_2,2026-03-26,present
2,Chakrika Menon,reliable,Site_8,2026-03-27,present
2,Chakrika Menon,reliable,Site_2,2026-03-28,present
2,Chakrika Menon,reliable,Site_2,2026-03-30,present
2,Chakrika Menon,reliable,Site_2,2026-03-31,present
2,Chakrika Menon,reliable,Site_2,2026-04-01,present
2,Chakrika Menon,reliable,Site_2,2026-04-02,present
2,Chakrika Menon,reliable,Site_2,2026-04-03,present
2,Chakrika Menon,reliable,Site_8,2026-04-04,present
2,Chakrika Menon,reliable,Site_8,2026-04-06,present
2,Chakrika Menon,reliable,Site_2,2026-04-07,absent
2,Chakrika Menon,reliable,Site_8,2026-04-08,present
2,Chakrika Menon,reliable,Site_8,2026-04-09,present
2,Chakrika Menon,reliable,Site_8,2026-04-10,present
2,Chakrika Menon,reliable,Site_2,2026-04-11,present
2,Chakrika Menon,reliable,Site_2,2026-04-13,present
2,Chakrika Menon,reliable,Site_2,2026-04-14,present
2,Chakrika Menon,reliable,Site_2,2026-04-15,present
2,Chakrika Menon,reliable,Site_2,2026-04-16,absent
2,Chakrika Menon,reliable,Site_8,2026-04-17,present
2,Chakrika Menon,reliable,Site_8,2026-04-18,present
2,Chakrika Menon,reliable,Site_8,2026-04-20,present
2,Chakrika Menon,reliable,Site_2,2026-04-21,present
2,Chakrika Menon,reliable,Site_8,2026-04-22,present
2,Chakrika Menon,reliable,Site_2,2026-04-23,absent
2,Chakrika Menon,reliable,Site_2,2026-04-24,absent
2,Chakrika Menon,reliable,Site_2,2026-04-25,present
2,Chakrika Menon,reliable,Site_2,2026-04-27,present
2,Chakrika Menon,reliable,Site_2,2026-04-28,present
2,Chakrika Menon,reliable,Site_2,2026-04-29,present
2,Chakrika Menon,reliable,Site_8,2026-04-30,present
2,Chakrika Menon,reliable,Site_8,2026-05-01,present
2,Chakrika Menon,reliable,Site_2,2026-05-02,present
2,Chakrika Menon,reliable,Site_8,2026-05-04,present
2,Chakrika Menon,reliable,Site_2,2026-05-05,present
2,Chakrika Menon,reliable,Site_2,2026-05-06,present
2,Chakrika Menon,reliable,Site_8,2026-05-07,present
2,Chakrika Menon,reliable,Site_8,2026-05-08,present
2,Chakrika Menon,reliable,Site_8,2026-05-09,present
2,Chakrika Menon,reliable,Site_2,2026-05-11,present
2,Chakrika Menon,reliable,Site_2,2026-05-12,present
2,Chakrika Menon,reliable,Site_8,2026-05-13,present
2,Chakrika Menon,reliable,Site_2,2026-05-14,present
2,Chakrika Menon,reliable,Site_2,2026-05-15,present
2,Chakrika Menon,reliable,Site_2,2026-05-16,present
2,Chakrika Menon,reliable,Site_2,2026-05-18,present
2,Chakrika Menon,reliable,Site_2,2026-05-19,present
2,Chakrika Menon,reliable,Site_8,2026-05-20,present
2,Chakrika Menon,reliable,Site_2,2026-05-21,absent
2,Chakrika Menon,reliable,Site_2,2026-05-22,absent
2,Chakrika Menon,reliable,Site_2,2026-05-23,present
2,Chakrika Menon,reliable,Site_2,2026-05-25,present
2,Chakrika Menon,reliable,Site_8,2026-05-26,present
2,Chakrika Menon,reliable,Site_8,2026-05-27,present
2,Chakrika Menon,reliable,Site_2,2026-05-28,present
2,Chakrika Menon,reliable,Site_2,2026-05-29,present
2,Chakrika Menon,reliable,Site_2,2026-05-30,present
2,Chakrika Menon,reliable,Site_2,2026-06-01,present
2,Chakrika Menon,reliable,Site_8,2026-06-02,present
2,Chakrika Menon,reliable,Site_2,2026-06-03,present
2,Chakrika Menon,reliable,Site_2,2026-06-04,present
2,Chakrika Menon,reliable,Site_8,2026-06-05,present
2,Chakrika Menon,reliable,Site_8,2026-06-06,present
2,Chakrika Menon,reliable,Site_8,2026-06-08,present
2,Chakrika Menon,reliable,Site_8,2026-06-09,present
2,Chakrika Menon,reliable,Site_2,2026-06-10,absent
2,Chakrika Menon,reliable,Site_8,2026-06-11,present
2,Chakrika Menon,reliable,Site_8,2026-06-12,present
2,Chakrika Menon,reliable,Site_8,2026-06-13,present
2,Chakrika Menon,reliable,Site_8,2026-06-15,present
2,Chakrika Menon,reliable,Site_2,2026-06-16,present
2,Chakrika Menon,reliable,Site_2,2026-06-17,present
2,Chakrika Menon,reliable,Site_8,2026-06-18,present
2,Chakrika Menon,reliable,Site_2,2026-06-19,present
2,Chakrika Menon,reliable,Site_2,2026-06-20,present
2,Chakrika Menon,reliable,Site_8,2026-06-22,absent
2,Chakrika Menon,reliable,Site_2,2026-06-23,present
2,Chakrika Menon,reliable,Site_8,2026-06-24,present
2,Chakrika Menon,reliable,Site_8,2026-06-25,present
2,Chakrika Menon,reliable,Site_8,2026-06-26,present
2,Chakrika Menon,reliable,Site_2,2026-06-27,present
2,Chakrika Menon,reliable,Site_8,2026-06-29,present
2,Chakrika Menon,reliable,Site_2,2026-06-30,present
2,Chakrika Menon,reliable,Site_8,2026-07-01,present
2,Chakrika Menon,reliable,Site_2,2026-07-02,present
2,Chakrika Menon,reliable,Site_2,2026-07-03,present
2,Chakrika Menon,reliable,Site_8,2026-07-04,present
2,Chakrika Menon,reliable,Site_8,2026-07-06,present
2,Chakrika Menon,reliable,Site_8,2026-07-07,present
2,Chakrika Menon,reliable,Site_2,2026-07-08,present
2,Chakrika Menon,reliable,Site_8,2026-07-09,present
2,Chakrika Menon,reliable,Site_8,2026-07-10,present
3,Ikshita Sama,reliable,Site_4,2026-02-26,present
3,Ikshita Sama,reliable,Site_5,2026-02-27,absent
3,Ikshita Sama,reliable,Site_4,2026-02-28,present
3,Ikshita Sama,reliable,Site_2,2026-03-02,present
3,Ikshita Sama,reliable,Site_4,2026-03-03,present
3,Ikshita Sama,reliable,Site_5,2026-03-04,present
3,Ikshita Sama,reliable,Site_5,2026-03-05,present
3,Ikshita Sama,reliable,Site_4,2026-03-06,present
3,Ikshita Sama,reliable,Site_2,2026-03-07,present
3,Ikshita Sama,reliable,Site_4,2026-03-09,present
3,Ikshita Sama,reliable,Site_5,2026-03-10,present
3,Ikshita Sama,reliable,Site_2,2026-03-11,present
3,Ikshita Sama,reliable,Site_9,2026-03-12,present
3,Ikshita Sama,reliable,Site_2,2026-03-13,present
3,Ikshita Sama,reliable,Site_2,2026-03-14,present
3,Ikshita Sama,reliable,Site_2,2026-03-16,present
3,Ikshita Sama,reliable,Site_2,2026-03-17,present
3,Ikshita Sama,reliable,Site_4,2026-03-18,present
3,Ikshita Sama,reliable,Site_9,2026-03-19,present
3,Ikshita Sama,reliable,Site_2,2026-03-20,present
3,Ikshita Sama,reliable,Site_9,2026-03-21,present
3,Ikshita Sama,reliable,Site_9,2026-03-23,present
3,Ikshita Sama,reliable,Site_9,2026-03-24,present
3,Ikshita Sama,reliable,Site_5,2026-03-25,present
3,Ikshita Sama,reliable,Site_4,2026-03-26,present
3,Ikshita Sama,reliable,Site_4,2026-03-27,present
3,Ikshita Sama,reliable,Site_5,2026-03-28,present
3,Ikshita Sama,reliable,Site_9,2026-03-30,present
3,Ikshita Sama,reliable,Site_2,2026-03-31,present
3,Ikshita Sama,reliable,Site_2,2026-04-01,present
3,Ikshita Sama,reliable,Site_5,2026-04-02,present
3,Ikshita Sama,reliable,Site_2,2026-04-03,present
3,Ikshita Sama,reliable,Site_9,2026-04-04,present
3,Ikshita Sama,reliable,Site_2,2026-04-06,present
3,Ikshita Sama,reliable,Site_2,2026-04-07,present
3,Ikshita Sama,reliable,Site_4,2026-04-08,present
3,Ikshita Sama,reliable,Site_9,2026-04-09,present
3,Ikshita Sama,reliable,Site_5,2026-04-10,present
3,Ikshita Sama,reliable,Site_2,2026-04-11,present
3,Ikshita Sama,reliable,Site_2,2026-04-13,present
3,Ikshita Sama,reliable,Site_5,2026-04-14,present
3,Ikshita Sama,reliable,Site_5,2026-04-15,present
3,Ikshita Sama,reliable,Site_2,2026-04-16,present
3,Ikshita Sama,reliable,Site_2,2026-04-17,present
3,Ikshita Sama,reliable,Site_9,2026-04-18,present
3,Ikshita Sama,reliable,Site_4,2026-04-20,present
3,Ikshita Sama,reliable,Site_9,2026-04-21,present
3,Ikshita Sama,reliable,Site_2,2026-04-22,present
3,Ikshita Sama,reliable,Site_2,2026-04-23,present
3,Ikshita Sama,reliable,Site_5,2026-04-24,present
3,Ikshita Sama,reliable,Site_5,2026-04-25,present
3,Ikshita Sama,reliable,Site_9,2026-04-27,absent
3,Ikshita Sama,reliable,Site_5,2026-04-28,present
3,Ikshita Sama,reliable,Site_5,2026-04-29,present
3,Ikshita Sama,reliable,Site_4,2026-04-30,present
3,Ikshita Sama,reliable,Site_5,2026-05-01,present
3,Ikshita Sama,reliable,Site_4,2026-05-02,present
3,Ikshita Sama,reliable,Site_5,2026-05-04,present
3,Ikshita Sama,reliable,Site_4,2026-05-05,present
3,Ikshita Sama,reliable,Site_9,2026-05-06,present
3,Ikshita Sama,reliable,Site_4,2026-05-07,present
3,Ikshita Sama,reliable,Site_5,2026-05-08,present
3,Ikshita Sama,reliable,Site_4,2026-05-09,present
3,Ikshita Sama,reliable,Site_5,2026-05-11,present
3,Ikshita Sama,reliable,Site_9,2026-05-12,present
3,Ikshita Sama,reliable,Site_2,2026-05-13,present
3,Ikshita Sama,reliable,Site_4,2026-05-14,present
3,Ikshita Sama,reliable,Site_4,2026-05-15,present
3,Ikshita Sama,reliable,Site_9,2026-05-16,present
3,Ikshita Sama,reliable,Site_5,2026-05-18,present
3,Ikshita Sama,reliable,Site_5,2026-05-19,present
3,Ikshita Sama,reliable,Site_2,2026-05-20,present
3,Ikshita Sama,reliable,Site_5,2026-05-21,present
3,Ikshita Sama,reliable,Site_9,2026-05-22,present
3,Ikshita Sama,reliable,Site_2,2026-05-23,present
3,Ikshita Sama,reliable,Site_5,2026-05-25,present
3,Ikshita Sama,reliable,Site_9,2026-05-26,present
3,Ikshita Sama,reliable,Site_2,2026-05-27,present
3,Ikshita Sama,reliable,Site_2,2026-05-28,present
3,Ikshita Sama,reliable,Site_9,2026-05-29,present
3,Ikshita Sama,reliable,Site_2,2026-05-30,present
3,Ikshita Sama,reliable,Site_9,2026-06-01,present
3,Ikshita Sama,reliable,Site_4,2026-06-02,present
3,Ikshita Sama,reliable,Site_5,2026-06-03,present
3,Ikshita Sama,reliable,Site_2,2026-06-04,present
3,Ikshita Sama,reliable,Site_2,2026-06-05,present
3,Ikshita Sama,reliable,Site_2,2026-06-06,present
3,Ikshita Sama,reliable,Site_2,2026-06-08,present
3,Ikshita Sama,reliable,Site_4,2026-06-09,present
3,Ikshita Sama,reliable,Site_9,2026-06-10,present
3,Ikshita Sama,reliable,Site_9,2026-06-11,present
3,Ikshita Sama,reliable,Site_9,2026-06-12,present
3,Ikshita Sama,reliable,Site_4,2026-06-13,present
3,Ikshita Sama,reliable,Site_2,2026-06-15,present
3,Ikshita Sama,reliable,Site_4,2026-06-16,present
3,Ikshita Sama,reliable,Site_2,2026-06-17,present
3,Ikshita Sama,reliable,Site_5,2026-06-18,present
3,Ikshita Sama,reliable,Site_4,2026-06-19,present
3,Ikshita Sama,reliable,Site_4,2026-06-20,present
3,Ikshita Sama,reliable,Site_9,2026-06-22,present
3,Ikshita Sama,reliable,Site_9,2026-06-23,present
3,Ikshita Sama,reliable,Site_9,2026-06-24,present
3,Ikshita Sama,reliable,Site_2,2026-06-25,present
3,Ikshita Sama,reliable,Site_9,2026-06-26,present
3,Ikshita Sama,reliable,Site_4,2026-06-27,present
3,Ikshita Sama,reliable,Site_4,2026-06-29,present
3,Ikshita Sama,reliable,Site_2,2026-06-30,present
3,Ikshita Sama,reliable,Site_9,2026-07-01,present
3,Ikshita Sama,reliable,Site_4,2026-07-02,absent
3,Ikshita Sama,reliable,Site_9,2026-07-03,present
3,Ikshita Sama,reliable,Site_5,2026-07-04,present
3,Ikshita Sama,reliable,Site_4,2026-07-06,present
3,Ikshita Sama,reliable,Site_5,2026-07-07,present
3,Ikshita Sama,reliable,Site_4,2026-07-08,present
3,Ikshita Sama,reliable,Site_2,2026-07-09,present
3,Ikshita Sama,reliable,Site_5,2026-07-10,present
4,Warjas Chandra,moderate,Site_1,2026-04-14,present
4,Warjas Chandra,moderate,Site_3,2026-04-15,present
4,Warjas Chandra,moderate,Site_3,2026-04-16,present
4,Warjas Chandra,moderate,Site_3,2026-04-17,present
4,Warjas Chandra,moderate,Site_1,2026-04-18,present
4,Warjas Chandra,moderate,Site_3,2026-04-20,present
4,Warjas Chandra,moderate,Site_1,2026-04-21,present
4,Warjas Chandra,moderate,Site_3,2026-04-22,present
4,Warjas Chandra,moderate,Site_1,2026-04-23,absent
4,Warjas Chandra,moderate,Site_1,2026-04-24,present
4,Warjas Chandra,moderate,Site_1,2026-04-25,present
4,Warjas Chandra,moderate,Site_3,2026-04-27,present
4,Warjas Chandra,moderate,Site_3,2026-04-28,present
4,Warjas Chandra,moderate,Site_3,2026-04-29,absent
4,Warjas Chandra,moderate,Site_1,2026-04-30,present
4,Warjas Chandra,moderate,Site_3,2026-05-01,present
4,Warjas Chandra,moderate,Site_3,2026-05-02,present
4,Warjas Chandra,moderate,Site_1,2026-05-04,present
4,Warjas Chandra,moderate,Site_1,2026-05-05,present
4,Warjas Chandra,moderate,Site_3,2026-05-06,present
4,Warjas Chandra,moderate,Site_1,2026-05-07,present
4,Warjas Chandra,moderate,Site_1,2026-05-08,present
4,Warjas Chandra,moderate,Site_3,2026-05-09,present
4,Warjas Chandra,moderate,Site_3,2026-05-11,absent
4,Warjas Chandra,moderate,Site_3,2026-05-12,present
4,Warjas Chandra,moderate,Site_1,2026-05-13,present
4,Warjas Chandra,moderate,Site_3,2026-05-14,absent
4,Warjas Chandra,moderate,Site_1,2026-05-15,present
4,Warjas Chandra,moderate,Site_1,2026-05-16,present
4,Warjas Chandra,moderate,Site_1,2026-05-18,present
4,Warjas Chandra,moderate,Site_1,2026-05-19,present
4,Warjas Chandra,moderate,Site_1,2026-05-20,absent
4,Warjas Chandra,moderate,Site_3,2026-05-21,present
4,Warjas Chandra,moderate,Site_1,2026-05-22,absent
4,Warjas Chandra,moderate,Site_3,2026-05-23,present
4,Warjas Chandra,moderate,Site_3,2026-05-25,present
4,Warjas Chandra,moderate,Site_1,2026-05-26,absent
4,Warjas Chandra,moderate,Site_3,2026-05-27,present
4,Warjas Chandra,moderate,Site_1,2026-05-28,present
4,Warjas Chandra,moderate,Site_3,2026-05-29,absent
4,Warjas Chandra,moderate,Site_1,2026-05-30,absent
4,Warjas Chandra,moderate,Site_1,2026-06-01,present
4,Warjas Chandra,moderate,Site_1,2026-06-02,absent
4,Warjas Chandra,moderate,Site_1,2026-06-03,present
4,Warjas Chandra,moderate,Site_3,2026-06-04,present
4,Warjas Chandra,moderate,Site_1,2026-06-05,absent
4,Warjas Chandra,moderate,Site_1,2026-06-06,present
4,Warjas Chandra,moderate,Site_1,2026-06-08,present
4,Warjas Chandra,moderate,Site_3,2026-06-09,absent
4,Warjas Chandra,moderate,Site_1,2026-06-10,present
4,Warjas Chandra,moderate,Site_3,2026-06-11,present
4,Warjas Chandra,moderate,Site_1,2026-06-12,absent
4,Warjas Chandra,moderate,Site_3,2026-06-13,absent
4,Warjas Chandra,moderate,Site_1,2026-06-15,present
4,Warjas Chandra,moderate,Site_3,2026-06-16,present
4,Warjas Chandra,moderate,Site_1,2026-06-17,present
4,Warjas Chandra,moderate,Site_3,2026-06-18,present
4,Warjas Chandra,moderate,Site_3,2026-06-19,present
4,Warjas Chandra,moderate,Site_1,2026-06-20,absent
4,Warjas Chandra,moderate,Site_1,2026-06-22,absent
4,Warjas Chandra,moderate,Site_3,2026-06-23,present
4,Warjas Chandra,moderate,Site_1,2026-06-24,present
4,Warjas Chandra,moderate,Site_1,2026-06-25,present
4,Warjas Chandra,moderate,Site_3,2026-06-26,present
4,Warjas Chandra,moderate,Site_3,2026-06-27,present
4,Warjas Chandra,moderate,Site_3,2026-06-29,present
4,Warjas Chandra,moderate,Site_1,2026-06-30,present
4,Warjas Chandra,moderate,Site_1,2026-07-01,present
4,Warjas Chandra,moderate,Site_1,2026-07-02,present
4,Warjas Chandra,moderate,Site_3,2026-07-03,absent
4,Warjas Chandra,moderate,Site_3,2026-07-04,present
4,Warjas Chandra,moderate,Site_3,2026-07-06,present
4,Warjas Chandra,moderate,Site_1,2026-07-07,absent
4,Warjas Chandra,moderate,Site_1,2026-07-08,absent
4,Warjas Chandra,moderate,Site_1,2026-07-09,present
4,Warjas Chandra,moderate,Site_1,2026-07-10,absent
5,Rayaan Gade,unreliable,Site_8,2026-05-27,present
5,Rayaan Gade,unreliable,Site_8,2026-05-28,present
5,Rayaan Gade,unreliable,Site_8,2026-05-29,present
5,Rayaan Gade,unreliable,Site_8,2026-05-30,absent
5,Rayaan Gade,unreliable,Site_8,2026-06-01,present
5,Rayaan Gade,unreliable,Site_8,2026-06-02,absent
5,Rayaan Gade,unreliable,Site_8,2026-06-03,present
5,Rayaan Gade,unreliable,Site_8,2026-06-04,absent
5,Rayaan Gade,unreliable,Site_8,2026-06-05,present
5,Rayaan Gade,unreliable,Site_8,2026-06-06,present
5,Rayaan Gade,unreliable,Site_8,2026-06-08,present
5,Rayaan Gade,unreliable,Site_8,2026-06-09,absent
5,Rayaan Gade,unreliable,Site_8,2026-06-10,present
5,Rayaan Gade,unreliable,Site_8,2026-06-11,present
5,Rayaan Gade,unreliable,Site_8,2026-06-12,present
5,Rayaan Gade,unreliable,Site_8,2026-06-13,present
5,Rayaan Gade,unreliable,Site_8,2026-06-15,present
5,Rayaan Gade,unreliable,Site_8,2026-06-16,absent
5,Rayaan Gade,unreliable,Site_8,2026-06-17,absent
5,Rayaan Gade,unreliable,Site_8,2026-06-18,absent
5,Rayaan Gade,unreliable,Site_8,2026-06-19,absent
5,Rayaan Gade,unreliable,Site_8,2026-06-20,absent
5,Rayaan Gade,unreliable,Site_8,2026-06-22,absent
5,Rayaan Gade,unreliable,Site_8,2026-06-23,absent
5,Rayaan Gade,unreliable,Site_8,2026-06-24,present
5,Rayaan Gade,unreliable,Site_8,2026-06-25,absent
5,Rayaan Gade,unreliable,Site_8,2026-06-26,present
5,Rayaan Gade,unreliable,Site_8,2026-06-27,absent
5,Rayaan Gade,unreliable,Site_8,2026-06-29,present
5,Rayaan Gade,unreliable,Site_8,2026-06-30,present
5,Rayaan Gade,unreliable,Site_8,2026-07-01,present
5,Rayaan Gade,unreliable,Site_8,2026-07-02,present
5,Rayaan Gade,unreliable,Site_8,2026-07-03,present
5,Rayaan Gade,unreliable,Site_8,2026-07-04,absent
5,Rayaan Gade,unreliable,Site_8,2026-07-06,absent
5,Rayaan Gade,unreliable,Site_8,2026-07-07,present
5,Rayaan Gade,unreliable,Site_8,2026-07-08,present
5,Rayaan Gade,unreliable,Site_8,2026-07-09,present
5,Rayaan Gade,unreliable,Site_8,2026-07-10,absent
6,Abeer Misra,new,Site_8,2026-07-06,absent
6,Abeer Misra,new,Site_8,2026-07-07,present
6,Abeer Misra,new,Site_8,2026-07-08,present
6,Abeer Misra,new,Site_8,2026-07-09,present
6,Abeer Misra,new,Site_8,2026-07-10,absent
7,George Kanda,reliable,Site_1,2026-02-19,present
7,George Kanda,reliable,Site_5,2026-02-20,present
7,George Kanda,reliable,Site_7,2026-02-21,present
7,George Kanda,reliable,Site_1,2026-02-23,present
7,George Kanda,reliable,Site_10,2026-02-24,present
7,George Kanda,reliable,Site_1,2026-02-25,present
7,George Kanda,reliable,Site_10,2026-02-26,present
7,George Kanda,reliable,Site_10,2026-02-27,present
7,George Kanda,reliable,Site_5,2026-02-28,present
7,George Kanda,reliable,Site_7,2026-03-02,present
7,George Kanda,reliable,Site_1,2026-03-03,present
7,George Kanda,reliable,Site_5,2026-03-04,present
7,George Kanda,reliable,Site_1,2026-03-05,present
7,George Kanda,reliable,Site_10,2026-03-06,present
7,George Kanda,reliable,Site_1,2026-03-07,present
7,George Kanda,reliable,Site_1,2026-03-09,present
7,George Kanda,reliable,Site_1,2026-03-10,present
7,George Kanda,reliable,Site_7,2026-03-11,present
7,George Kanda,reliable,Site_1,2026-03-12,absent
7,George Kanda,reliable,Site_1,2026-03-13,present
7,George Kanda,reliable,Site_7,2026-03-14,present
7,George Kanda,reliable,Site_10,2026-03-16,absent
7,George Kanda,reliable,Site_10,2026-03-17,present
7,George Kanda,reliable,Site_7,2026-03-18,present
7,George Kanda,reliable,Site_1,2026-03-19,absent
7,George Kanda,reliable,Site_7,2026-03-20,present
7,George Kanda,reliable,Site_5,2026-03-21,present
7,George Kanda,reliable,Site_1,2026-03-23,present
7,George Kanda,reliable,Site_1,2026-03-24,present
7,George Kanda,reliable,Site_10,2026-03-25,present
7,George Kanda,reliable,Site_1,2026-03-26,present
7,George Kanda,reliable,Site_10,2026-03-27,present
7,George Kanda,reliable,Site_7,2026-03-28,present
7,George Kanda,reliable,Site_1,2026-03-30,present
7,George Kanda,reliable,Site_5,2026-03-31,present
7,George Kanda,reliable,Site_5,2026-04-01,present
7,George Kanda,reliable,Site_7,2026-04-02,present
7,George Kanda,reliable,Site_10,2026-04-03,present
7,George Kanda,reliable,Site_10,2026-04-04,present
7,George Kanda,reliable,Site_1,2026-04-06,present
7,George Kanda,reliable,Site_7,2026-04-07,present
7,George Kanda,reliable,Site_10,2026-04-08,present
7,George Kanda,reliable,Site_5,2026-04-09,present
7,George Kanda,reliable,Site_7,2026-04-10,present
7,George Kanda,reliable,Site_1,2026-04-11,absent
7,George Kanda,reliable,Site_1,2026-04-13,present
